material_id,formation_energy_per_atom,pretty_formula
mp-3564,-3.698379991,BaSc2O4
mp-19234,-3.362615573,Ba2WO3F4
mp-556824,-2.088592487,Tl2Ni4P4O15
mp-19517,-2.591934554,KVPO5
mp-19215,-2.445567206,CaCrO4
mp-10299,-2.686106238,Ca4PdO6
mp-29787,-2.31818916,Ba5Pt2O9
mp-650526,-0.673744187,WC4(BrO2)2
mp-561355,-1.673638178,TiSCl6O
mp-18783,-2.445903512,Ca2FeMoO6
mp-758574,-2.588854001,LiFeSiO4
mp-6474,-3.27744864,Ba3MgNb2O9
mp-1200069,-1.375387126,Cu2MoSeO7
mp-555030,-2.912279576,NaY(PO3)4
mp-559899,-2.273981426,BaVCu4P4O17
mp-19356,-2.500573618,YbMnO3
mp-622110,-2.201518822,Ba2ErCu3O7
mp-22588,-2.984267881,LuFeO3
mp-557130,-1.624219745,Zn2TeCl2O3
mp-1191165,-2.133591595,ZrP2NO8
mp-541108,-2.575071864,Cd2Si(P2O7)2
mp-540828,-1.650857865,FeClO
mp-560181,-1.870497427,Cr3InO8
mp-560777,-1.710707849,K3Hg3S2Cl5O6
mp-1189762,-2.80681815,EuCrO3
mp-1215,-2.040922547,Ti2O
mp-1203923,-2.142091481,Cu3B6H2O13
mp-572871,-2.136421264,V2CoO6
mp-1192641,-3.434237805,Sr2Ti(SiO4)2
mp-555605,-2.607437021,KMnPO4
mp-618375,-0.505697279,Ag4Te(NO3)2
mp-1193012,0.354236065,PtN2(ClO)2
mp-550564,-1.374606068,Co2TeCl2O3
mp-697072,-0.946827842,CuHIO4
mp-1197537,-2.372865986,Na2FePO5
mp-721583,-1.35406371,CdH2SeO5
mp-611033,-1.690606925,SrRuO3
mp-557135,-1.555008728,VAgSeO5
mp-1196021,-0.617680652,CdCN3Cl2O
mp-705034,-1.607371005,CrPb5O8
mp-11023,-2.571345437,ScAuO2
mp-17630,-2.39004029,LuCu(WO4)2
mp-4630,-1.845563557,Li2RuO3
mp-18900,-2.628088942,MgV2O4
mp-697593,-0.724415788,Te7WCl5O
mp-558609,-3.458217987,Ce3Ta(ClO2)3
mp-744756,-0.837575767,CoHRu(CO)6
mp-1201776,0.562451525,CoN5ClO4
mp-542115,-1.028109642,Hg3Se3O10
mp-1078182,-1.620438418,Nd2Fe2Se2O3
mp-1200007,-1.942657653,Rb2Fe2As2O9
mp-558481,-1.175455055,ZnGaNO
mp-541331,-2.464887614,Sr2PrGaCu2O7
mp-541860,-1.895708822,TiAs2H4O9
mp-5503,-3.749791591,ErTaO4
mp-24018,-2.188340193,CaZnAsHO5
mp-23102,-2.447842746,Sr2Cu(ClO)2
mp-558800,-2.937415883,CaMn4(SiO3)5
mp-17981,-2.602296936,Eu3IrO7
mp-1105046,-1.98672375,ScAsO5
mp-1201539,-2.161432655,ZnBi4(PO6)2
mp-8459,-1.954313676,CdSO4
mp-9304,-2.153845327,DyCuSeO
mp-1195819,-1.56067215,Mn2TeSO8
mp-12362,-1.016803994,AgHg3SbO6
mp-556104,-3.035753686,La2CrO6
mp-24522,-1.556990961,CuH2SO5
mp-556847,-1.486364363,RbV(IO4)2
mp-15250,-2.534837511,NaCd(PO3)3
mp-17262,-1.781355053,BaCu2(AsO4)2
mp-1201569,-3.403174872,Sc2VO5
mp-38280,-2.987079226,LiTiO2
mp-18086,-2.084872516,SrCoAs2O7
mp-1202328,-2.644055174,Cs2CaV2O7
mp-14000,-2.880276789,UCdO4
mp-1019968,-2.94462058,LaZn(BO2)5
mp-6716,-2.559948169,Ba4Zr(RuO4)3
mp-553877,-2.167663316,CdMoPO6
mp-13602,-1.679368999,Cd3(AsO4)2
mp-541282,-2.536358581,KZr2(AsO4)3
mp-1205304,-1.599589408,TiI2O7
mp-1104572,-1.637462299,NaZn2(MoO5)2
mp-3224,-2.250704577,Mn7SiO12
mp-625548,-1.380868316,Cd(HO)2
mp-1189894,-2.879825939,Y2MnCoO6
mp-556318,-2.422651535,Cr4Si2Cl2O7
mp-1105409,-2.301982761,YSb(PbO3)2
mp-1200418,-2.462520175,Na4Th(WO4)4
mp-2278,-0.033627154,HgO2
mp-1180130,-2.245091191,NaZrP2O9
mp-18996,-2.198379073,TlV3O8
mp-555609,-2.500394743,Sr9Zn4(CuO7)2
